name	x	y	z
Fp1	80.80	26.10	-4.00
Fp2	80.80	-26.10	-4.00
F7	49.89	68.41	-7.50
F3	57.58	48.14	39.91
Fz	60.73	0.00	59.47
F4	57.58	-48.14	39.91
F8	49.89	-68.41	-7.48
FC5	28.81	76.24	24.14
FC1	32.44	32.33	71.61
FC2	32.44	-32.33	71.61
FC6	28.81	-76.24	24.14
T7	0.00	84.54	-8.84
C3	0.00	63.17	56.88
Cz	0.00	0.00	85.00
C4	0.00	-63.17	56.88
T8	0.00	-84.54	-8.84
FCz	32.94	0.00	78.36
CP5	-29.21	76.09	24.14
CP1	-32.38	32.38	71.61
CP2	-32.38	-32.38	71.61
CP6	-29.21	-76.09	24.14
P7	-49.77	68.50	-7.50
P3	-57.49	48.24	39.91
Pz	-60.73	-0.00	59.47
P4	-57.49	-48.24	39.91
P8	-49.77	-68.50	-7.48
PO9	-61.76	43.25	-39.25
O1	-80.75	26.24	-4.00
Oz	-84.98	-0.00	-1.78
O2	-80.75	-26.24	-4.00
PO10	-61.76	-43.25	-39.25
AF7	68.68	49.72	-5.96
AF3	76.13	31.53	20.85
AF4	76.13	-31.53	20.85
AF8	68.68	-49.72	-5.96
F5	54.05	63.06	18.11
F1	59.89	26.04	54.41
F2	59.89	-26.04	54.41
F6	54.03	-63.03	18.25
FT7	26.27	80.39	-8.52
FC3	30.99	59.28	52.45
FC4	30.99	-59.28	52.45
FT8	26.27	-80.39	-8.52
C5	0.00	80.84	26.27
C1	0.00	34.57	77.65
C2	0.00	-34.57	77.65
C6	0.00	-80.84	26.27
TP7	-26.13	80.43	-8.52
CP3	-31.40	59.06	52.45
CPz	-32.94	-0.00	78.36
CP4	-31.40	-59.06	52.45
TP8	-26.13	-80.43	-8.50
P5	-54.48	62.68	18.11
P1	-60.11	25.52	54.41
P2	-60.11	-25.52	54.41
P6	-54.46	-62.65	18.25
PO7	-68.60	49.84	-5.96
PO3	-76.40	30.87	20.85
POz	-79.03	-0.00	31.29
PO4	-76.40	-30.87	20.85
PO8	-68.60	-49.84	-5.96
